'CanonicalRoots.fermatIdeal_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.component_mem_fermatIdeal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientProjection' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientProjection_of_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPieces_internal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientGradedAlgebra' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootProjection_of_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPieces_internal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootGradedAlgebra' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientAdjoinEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.splitPowerBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientMonomialBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientMonomialBasis_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientMonomialBasis_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPiece_eq_span' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPieceBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPieceBasis_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPieceEquivAmbient' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPieceBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.monomialDegree_normal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.monomialDegree_eq_normal_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.pieceIndex_normal_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.pieceIndex_nat_normal_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.pieceIndexEquivCompositions' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPieceSymBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPiece_finrank_nat' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPiece_eq_bot_of_negative' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPiece_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPiece_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPiece_finite' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPiece_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.normalDegree_normalize' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootResidue_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootDegree_normal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootHilbert_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCarry_residue_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.canonicalRootCarry_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rationalDegree_normal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCarry_rational' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPiece_zero_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.exponentBoxEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPowerBoxIndexEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPowerBoxBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientPowerBoxBasis_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.boxComplement' depends on axioms: [propext, Quot.sound]
'CanonicalRoots.boxDegree_complement' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.powerBoxDegree' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.monomialDegree_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootBox_complement_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootBoxComplement' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootBoxDegree_complement' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootModule_eq_span' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootMonomialBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootMonomialBasis_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.box_root_shift_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPowerBoxIndexEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPowerBoxBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPowerBoxBasis_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootPowerBoxBasis_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.canonicalRoot_scale_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.canonicalRoot_nat_denominator' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.canonicalRootBoxBasis' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.mem_kinds' depends on axioms: [propext]
'CanonicalRoots.mem_ternaryBox' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.enumerateTernaryCandidates_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Counterexamples.branched_has_nonzero_critical_point' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'CanonicalRoots.Counterexamples.branched_not_isolated' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Counterexamples.branched_determinant_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Counterexamples.nonprincipal_fermat_determinant' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'CanonicalRoots.Counterexamples.nonprincipal_fermat_weights' depends on axioms: [propext]
'CanonicalRoots.Counterexamples.nonmaximal_root_numbers' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.degree_relation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Cox.lattice_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Cox.homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Cox.certificate_row_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Cox.integral_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Cox.substitution' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.Cox.determinant' depends on axioms: [propext, Classical.choice, Quot.sound]
